Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies, Advanced Communications, Data and Cybersecurity",1,999898.0,999898.0
"Robotics and Advanced Manufacturing, Advanced Communications, Biotechnology, Data and Cybersecurity",1,999885.0,999885.0
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Advanced Materials, Disaster Prevention and Mitigation, Data and Cybersecurity",1,999878.0,999878.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",1,999841.0,999841.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation, Advanced Communications, Data and Cybersecurity",1,999650.0,999650.0
"Advanced Materials, Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Biotechnology",1,999547.0,999547.0
"Biotechnology, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",1,998527.0,998527.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials, Data and Cybersecurity",1,998056.0,998056.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",2,998043.0,499021.5
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials, Disaster Prevention and Mitigation",1,995943.0,995943.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors",1,995904.0,995904.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Disaster Prevention and Mitigation, Advanced Materials",1,995337.0,995337.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Data and Cybersecurity, Disaster Prevention and Mitigation",1,995163.0,995163.0
"Quantum Information Science and Technology, Biotechnology, Advanced Computing and Semiconductors",1,993869.0,993869.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing, Data and Cybersecurity",1,992699.0,992699.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Advanced Materials",2,990850.0,495425.0
"Data and Cybersecurity, Biotechnology, Advanced Communications",1,984905.0,984905.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Data and Cybersecurity, Biotechnology",1,944875.0,944875.0
"Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology, Data and Cybersecurity",1,923999.0,923999.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Data and Cybersecurity",1,916490.0,916490.0
"Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies",1,897042.0,897042.0
"Disaster Prevention and Mitigation, Advanced Communications",4,836937.0,209234.25
"Biotechnology, Robotics and Advanced Manufacturing, Advanced Materials",2,816811.0,408405.5
"Advanced Materials, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies",2,800000.0,400000.0
"Advanced Communications, Artificial Intelligence, Data and Cybersecurity",2,799999.0,399999.5
"Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Artificial Intelligence",3,799548.0,266516.0
"Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Advanced Materials",2,793248.0,396624.0
"Biotechnology, Disaster Prevention and Mitigation, Artificial Intelligence",3,787000.0,262333.3333333333
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Materials",3,786944.0,262314.6666666667
"Biotechnology, Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",2,785056.0,392528.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Materials, Biotechnology",1,750000.0,750000.0
"Advanced Materials, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Computing and Semiconductors",1,750000.0,750000.0
"Artificial Intelligence, Biotechnology, Advanced Communications, Robotics and Advanced Manufacturing",1,750000.0,750000.0
"Data and Cybersecurity, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Artificial Intelligence, Data and Cybersecurity, Robotics and Advanced Manufacturing",1,750000.0,750000.0
"Advanced Materials, Quantum Information Science and Technology, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Disaster Prevention and Mitigation, Advanced Materials, Robotics and Advanced Manufacturing, Artificial Intelligence",1,750000.0,750000.0
"Advanced Materials, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Advanced Materials, Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies",1,750000.0,750000.0
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors, Artificial Intelligence",1,749995.0,749995.0
"Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence",1,749954.8,749954.8
"Data and Cybersecurity, Artificial Intelligence, Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",1,749548.0,749548.0
"Advanced Materials, Biotechnology, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",1,745000.0,745000.0
"Advanced Materials, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies",1,744893.0,744893.0
"Data and Cybersecurity, Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology",1,722573.0,722573.0
"Exploratory Activities, Disaster Prevention and Mitigation",5,719143.0,143828.6
"Data and Cybersecurity, Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence",1,716823.0,716823.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",4,699836.0,174959.0
"Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology",1,650000.0,650000.0
"Disaster Prevention and Mitigation, Data and Cybersecurity, Advanced Computing and Semiconductors, Artificial Intelligence",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Biotechnology, Artificial Intelligence, Disaster Prevention and Mitigation, Advanced Materials",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology, Advanced Computing and Semiconductors",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Advanced Materials, Biotechnology, Disaster Prevention and Mitigation",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Materials, Artificial Intelligence, Disaster Prevention and Mitigation",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Computing and Semiconductors, Artificial Intelligence, Disaster Prevention and Mitigation",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Advanced Materials, Disaster Prevention and Mitigation, Biotechnology, Artificial Intelligence",1,649990.0,649990.0
"Disaster Prevention and Mitigation, Biotechnology, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",1,649975.0,649975.0
"Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology, Advanced Materials",1,649930.0,649930.0
"Robotics and Advanced Manufacturing, Biotechnology, Disaster Prevention and Mitigation, Artificial Intelligence",1,649810.0,649810.0
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors, Artificial Intelligence, Biotechnology",1,649431.0,649431.0
"Advanced Communications, Advanced Energy and Industrial Efficiency Technologies",3,630000.0,210000.0
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Disaster Prevention and Mitigation",3,629541.0,209847.0
"Quantum Information Science and Technology, Advanced Computing and Semiconductors",3,605414.0,201804.66666666666
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",1,600000.0,600000.0
"Advanced Materials, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",2,599949.0,299974.5
"Exploratory Activities, Disaster Prevention and Mitigation, Biotechnology",3,599949.0,199983.0
"Exploratory Activities, Artificial Intelligence, Data and Cybersecurity",4,593846.0,148461.5
"Advanced Materials, Advanced Communications",5,587378.0,117475.6
"Data and Cybersecurity, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation",2,579852.0,289926.0
"Biotechnology, Artificial Intelligence, Robotics and Advanced Manufacturing",2,560972.0,280486.0
"Artificial Intelligence, Advanced Communications, Robotics and Advanced Manufacturing, Biotechnology",1,550000.0,550000.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Biotechnology",1,549999.0,549999.0
"Biotechnology, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Advanced Materials",1,549958.0,549958.0
"Advanced Communications, Advanced Materials, Robotics and Advanced Manufacturing",1,548676.0,548676.0
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",1,547134.0,547134.0
"Advanced Materials, Data and Cybersecurity, Robotics and Advanced Manufacturing",1,542752.0,542752.0
"Exploratory Activities, Advanced Energy and Industrial Efficiency Technologies",4,535078.0,133769.5
"Advanced Communications, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",2,524048.0,262024.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Biotechnology",2,512000.0,256000.0
"Disaster Prevention and Mitigation, Advanced Materials, Biotechnology",2,511966.0,255983.0
"Advanced Materials, Robotics and Advanced Manufacturing, Artificial Intelligence",1,511931.0,511931.0
"Advanced Materials, Biotechnology, Robotics and Advanced Manufacturing",2,500000.0,250000.0
"Exploratory Activities, Disaster Prevention and Mitigation, Artificial Intelligence",3,475000.0,158333.33333333334
"Advanced Materials, Biotechnology, Advanced Computing and Semiconductors",1,473784.0,473784.0
"Exploratory Activities, Data and Cybersecurity, Artificial Intelligence",5,459952.0,91990.4
"Disaster Prevention and Mitigation, Artificial Intelligence, Robotics and Advanced Manufacturing",1,458784.0,458784.0
"Advanced Communications, Artificial Intelligence, Biotechnology",4,425000.0,106250.0
"Robotics and Advanced Manufacturing, Advanced Materials, Biotechnology",2,349590.0,174795.0
"Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies",1,348722.0,348722.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Advanced Computing and Semiconductors",2,325000.0,162500.0
"Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence, Disaster Prevention and Mitigation",2,305988.0,152994.0
"Artificial Intelligence, Biotechnology, Advanced Communications",2,305409.0,152704.5
"Disaster Prevention and Mitigation, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies",1,305000.0,305000.0
"Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Computing and Semiconductors",1,304943.0,304943.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Biotechnology",1,304901.0,304901.0
"Advanced Computing and Semiconductors, Artificial Intelligence, Advanced Communications",1,304888.0,304888.0
"Advanced Communications, Advanced Computing and Semiconductors, Artificial Intelligence",1,304638.0,304638.0
"Advanced Computing and Semiconductors, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies",2,300000.0,150000.0
"Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Advanced Materials",2,300000.0,150000.0
"Exploratory Activities, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",1,300000.0,300000.0
"Advanced Computing and Semiconductors, Data and Cybersecurity, Disaster Prevention and Mitigation",1,300000.0,300000.0
"Exploratory Activities, Advanced Materials, Advanced Computing and Semiconductors, Artificial Intelligence",4,299999.0,74999.75
"Quantum Information Science and Technology, Advanced Materials",2,299999.0,149999.5
"Advanced Computing and Semiconductors, Data and Cybersecurity, Biotechnology",1,299982.0,299982.0
"Artificial Intelligence, Biotechnology, Advanced Computing and Semiconductors",1,299942.0,299942.0
"Data and Cybersecurity, Advanced Communications, Advanced Computing and Semiconductors",1,299929.0,299929.0
"Advanced Computing and Semiconductors, Artificial Intelligence, Disaster Prevention and Mitigation",1,294759.0,294759.0
"Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence, Robotics and Advanced Manufacturing",1,275000.0,275000.0
"Biotechnology, Quantum Information Science and Technology, Advanced Computing and Semiconductors",1,275000.0,275000.0
"Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation, Artificial Intelligence, Data and Cybersecurity",1,275000.0,275000.0
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",1,275000.0,275000.0
"Biotechnology, Advanced Computing and Semiconductors, Advanced Communications",1,275000.0,275000.0
"Advanced Communications, Robotics and Advanced Manufacturing, Artificial Intelligence, Data and Cybersecurity",1,275000.0,275000.0
"Quantum Information Science and Technology, Advanced Energy and Industrial Efficiency Technologies",1,275000.0,275000.0
"Advanced Computing and Semiconductors, Advanced Materials, Quantum Information Science and Technology",1,275000.0,275000.0
"Advanced Communications, Advanced Materials, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",1,274999.0,274999.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Quantum Information Science and Technology",1,274920.0,274920.0
"Advanced Materials, Quantum Information Science and Technology, Advanced Computing and Semiconductors",1,274771.0,274771.0
"Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials",1,274361.0,274361.0
"Exploratory Activities, Advanced Communications",3,274073.0,91357.66666666667
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Robotics and Advanced Manufacturing",1,273910.0,273910.0
"Biotechnology, Advanced Computing and Semiconductors, Artificial Intelligence",1,264736.0,264736.0
"Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Advanced Communications",1,256000.0,256000.0
"Disaster Prevention and Mitigation, Biotechnology, Advanced Computing and Semiconductors",1,256000.0,256000.0
"Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",1,256000.0,256000.0
"Advanced Computing and Semiconductors, Quantum Information Science and Technology, Artificial Intelligence",1,255999.0,255999.0
"Data and Cybersecurity, Artificial Intelligence, Advanced Communications",1,255997.0,255997.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Advanced Communications, Advanced Materials",1,255920.0,255920.0
"Biotechnology, Artificial Intelligence, Disaster Prevention and Mitigation",1,255908.0,255908.0
"Biotechnology, Advanced Communications, Data and Cybersecurity",1,255719.0,255719.0
"Quantum Information Science and Technology, Advanced Computing and Semiconductors, Artificial Intelligence",1,255646.0,255646.0
"Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Advanced Communications",1,251522.0,251522.0
"Advanced Computing and Semiconductors, Advanced Communications, Robotics and Advanced Manufacturing",1,250000.0,250000.0
"Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation, Advanced Materials",1,250000.0,250000.0
"Artificial Intelligence, Quantum Information Science and Technology",1,250000.0,250000.0
"Robotics and Advanced Manufacturing, Data and Cybersecurity",1,250000.0,250000.0
"Advanced Computing and Semiconductors, Data and Cybersecurity, Artificial Intelligence",1,250000.0,250000.0
"Advanced Communications, Robotics and Advanced Manufacturing, Artificial Intelligence",1,249957.0,249957.0
"Advanced Communications, Advanced Computing and Semiconductors, Advanced Materials",1,249587.0,249587.0
"Artificial Intelligence, Advanced Communications, Robotics and Advanced Manufacturing, Data and Cybersecurity",1,248900.0,248900.0
"Advanced Computing and Semiconductors, Data and Cybersecurity, Quantum Information Science and Technology",1,245996.0,245996.0
"Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",1,225000.0,225000.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Data and Cybersecurity, Advanced Communications",1,200000.0,200000.0
"Exploratory Activities, Disaster Prevention and Mitigation, Data and Cybersecurity, Artificial Intelligence",1,200000.0,200000.0
"Exploratory Activities, Quantum Information Science and Technology",2,173970.0,86985.0
"Exploratory Activities, Disaster Prevention and Mitigation, Data and Cybersecurity",1,164811.0,164811.0
"Exploratory Activities, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology",1,159300.0,159300.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies",2,100000.0,50000.0
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors",2,100000.0,50000.0
"Advanced Materials, Quantum Information Science and Technology",2,100000.0,50000.0
"Exploratory Activities, Robotics and Advanced Manufacturing, Artificial Intelligence",1,100000.0,100000.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Data and Cybersecurity",2,100000.0,50000.0
"Exploratory Activities, Artificial Intelligence, Biotechnology",1,99998.0,99998.0
"Exploratory Activities, Biotechnology, Artificial Intelligence",1,99992.0,99992.0
"Artificial Intelligence, Exploratory Activities, Robotics and Advanced Manufacturing",1,99715.0,99715.0
"Exploratory Activities, Advanced Materials, Biotechnology, Robotics and Advanced Manufacturing",1,96689.0,96689.0
"Exploratory Activities, Robotics and Advanced Manufacturing",1,86177.0,86177.0
"Exploratory Activities, Biotechnology",1,74999.0,74999.0
"Robotics and Advanced Manufacturing, Quantum Information Science and Technology",1,50000.0,50000.0
"Artificial Intelligence, Advanced Computing and Semiconductors, Biotechnology",1,50000.0,50000.0
"Biotechnology, Data and Cybersecurity, Artificial Intelligence",1,50000.0,50000.0
"Artificial Intelligence, Advanced Communications, Data and Cybersecurity",1,50000.0,50000.0
"Advanced Computing and Semiconductors, Disaster Prevention and Mitigation",1,50000.0,50000.0
"Artificial Intelligence, Advanced Computing and Semiconductors, Advanced Communications, Biotechnology",1,50000.0,50000.0
"Artificial Intelligence, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation",1,50000.0,50000.0
"Advanced Materials, Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors",1,50000.0,50000.0
"Advanced Communications, Artificial Intelligence, Disaster Prevention and Mitigation",1,50000.0,50000.0
"Advanced Computing and Semiconductors, Biotechnology, Robotics and Advanced Manufacturing, Artificial Intelligence",1,50000.0,50000.0
"Disaster Prevention and Mitigation, Data and Cybersecurity, Artificial Intelligence, Advanced Communications",1,50000.0,50000.0
"Advanced Communications, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Artificial Intelligence",1,50000.0,50000.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Biotechnology, Robotics and Advanced Manufacturing",1,50000.0,50000.0
"Disaster Prevention and Mitigation, Advanced Communications, Artificial Intelligence, Data and Cybersecurity",1,50000.0,50000.0
"Disaster Prevention and Mitigation, Biotechnology, Advanced Communications",1,50000.0,50000.0
"Advanced Materials, Advanced Communications, Robotics and Advanced Manufacturing",1,50000.0,50000.0
"Advanced Materials, Disaster Prevention and Mitigation, Biotechnology",1,50000.0,50000.0
"Advanced Computing and Semiconductors, Advanced Materials, Advanced Communications",1,50000.0,50000.0
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Artificial Intelligence",1,50000.0,50000.0
"Disaster Prevention and Mitigation, Artificial Intelligence, Advanced Communications",1,50000.0,50000.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Communications, Biotechnology",1,50000.0,50000.0
"Robotics and Advanced Manufacturing, Advanced Communications, Data and Cybersecurity",1,50000.0,50000.0
"Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials",1,50000.0,50000.0
"Advanced Materials, Artificial Intelligence, Robotics and Advanced Manufacturing",1,50000.0,50000.0
"Data and Cybersecurity, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation, Artificial Intelligence",1,50000.0,50000.0
"Artificial Intelligence, Advanced Materials",1,50000.0,50000.0
"Artificial Intelligence, Advanced Communications, Advanced Computing and Semiconductors, Biotechnology",1,50000.0,50000.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Communications",1,50000.0,50000.0
"Robotics and Advanced Manufacturing, Advanced Materials, Artificial Intelligence",1,50000.0,50000.0
"Exploratory Activities, Biotechnology, Disaster Prevention and Mitigation, Artificial Intelligence",1,47030.0,47030.0
"Exploratory Activities, Data and Cybersecurity, Advanced Computing and Semiconductors",1,46670.0,46670.0
